MAC_address,window_mame,timestamp,data
60:45:2E:F3:21:21,keylogger – app.py,2025-02-26 16:55,zxzdaddwdwd
60:45:2E:F3:21:21,keylogger – app.py,2025-02-26 16:55,jkhkugfyudrrfufdtydrt
60:45:2E:F3:21:21,keylogger – app.py,2025-02-26 16:55,vfttufgdfhgfvghghdgf
60:45:2E:F3:21:21,keylogger – app.py,2025-02-26 16:55,hjcghdhouuigfyfyucvjhfyu
60:45:2E:F3:21:21,keylogger – app.py,2025-02-26 16:55,fd
60:45:2E:F3:21:21,keylogger – app.py,2025-02-26 16:55,8tty788t8768rtut7tcv
60:45:2E:F3:21:21,keylogger – app.py,2025-02-26 16:55,gugfgu
60:45:2E:F3:21:21,keylogger – app.py,2025-02-26 16:55,it78tityfuyfudydfuy
60:45:2E:F3:21:21,keylogger – app.py,2025-02-26 16:56,oiytuyfyufyfdtf
60:45:2E:F3:21:21,keylogger – app.py,2025-02-26 16:56, yufyudgfuyfhugugyuvuff
60:45:2E:F3:21:21,keylogger – app.py,2025-02-26 16:56,fyfiyufgjkbgvhucvguct
60:45:2E:F3:21:21,New Tab - Google Chrome,2025-02-26 16:56,nj
60:45:2E:F3:21:21,New Tab - Google Chrome,2025-02-26 16:56,hjknjgbnkubj hhiohoihiho 
60:45:2E:F3:21:21,New Tab - Google Chrome,2025-02-26 16:56,uituiv outu
60:45:2E:F3:21:21,New Tab - Google Chrome,2025-02-26 16:56, gyuyf
60:45:2E:F3:21:21,New Tab - Google Chrome,2025-02-26 16:56, 
60:45:2E:F3:21:21,New Tab - Google Chrome,2025-02-26 16:57,Key.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspace
60:45:2E:F3:21:21,New Tab - Google Chrome,2025-02-26 16:57,Key.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspace
60:45:2E:F3:21:21,keylogger – KeyloggerManager.py,2025-02-26 22:54,מםKey.shiftHUן'עגטשגעוגעהג נוןעכגטושכא
60:45:2E:F3:21:21,keylogger – KeyloggerManager.py,2025-02-26 22:54,שעגגהשעגושעגןשקיעקווןכעקוכיעקכטןעק גנעושןעכדקטעגןשיגעויכן'כ'ויקכועקכעק נגון
60:45:2E:F3:21:21,keylogger – KeyloggerManager.py,2025-02-26 22:54,עדיכגןזדכיםזעןכיןקט וןדעגזוןדעכקדכעו וןכעדןוכועקכדיככיעקכןעכןעכ 
60:45:2E:F3:21:21,New Tab - Google Chrome,2025-02-26 22:54,"Key.ctrl_l
"
60:45:2E:F3:21:21,keylogger – KeyloggerManager.py,2025-02-26 22:54,מםןיעןעעו
60:45:2E:F3:21:21,keylogger – KeyloggerManager.py,2025-02-26 22:54,עוטכוא
60:45:2E:F3:21:21,keylogger – KeyloggerManager.py,2025-02-26 22:55,נחלעטכעוכ
60:45:2E:F3:21:21,keylogger – KeyloggerManager.py,2025-02-26 22:55,Key.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspace
60:45:2E:F3:21:21,New Tab - Google Chrome,2025-02-27 09:03,"Key.ctrl_l
"
60:45:2E:F3:21:21,keylogger – KeyloggerManager.py,2025-02-27 09:03,hoigiugyihhoiuhuig jihugt7t67r7fyu76 
60:45:2E:F3:21:21,Keylogger Dashboard - Google Chrome,2025-02-27 09:04,ho
60:45:2E:F3:21:21,Keylogger Dashboard - Google Chrome,2025-02-27 09:04,Key.backspaceKey.backspace
60:45:2E:F3:21:21,New Tab - Google Chrome,2025-02-27 10:52,"Key.ctrl_l
"
60:45:2E:F3:21:21,keylogger – KeyloggerManager.py,2025-02-27 10:52,חעןוע
60:45:2E:F3:21:21,keylogger – KeyloggerManager.py,2025-02-27 10:52,כטכואכגאכגטא יעלטןטכוכטוכ 
60:45:2E:F3:21:21,keylogger – KeyloggerManager.py,2025-02-27 10:52,מה נשמע
60:45:2E:F3:21:21,keylogger – KeyloggerManager.py,2025-02-27 10:52, 
60:45:2E:F3:21:21,Keylogger Dashboard - Google Chrome,2025-02-27 10:55,י
60:45:2E:F3:21:21,Keylogger Dashboard - Google Chrome,2025-02-27 10:55,םKey.backspaceKey.backspaceKey.alt_lKey.shiftים
60:45:2E:F3:21:21,Keylogger Dashboard - Google Chrome,2025-02-27 10:55,Key.backspaceKey.backspace
